,order,grave,add,z,internal_storage,number,warp_size,weft_size,type,item_no,structure,condition,weaving_technique,warp_material,weft_material,warp_dyed,weft_dyed,twist_warp,twist_weft,angle_warp,angle_weft,even (равномерность — фактор),cover factor,selvedge,warp_a,warp_b,warp_mean,weft_a,weft_b,weft_mean,warp_dens,weft_dens,warp_nominal,weft_nominal,thick_coef,dens_coef
10,11.0,88,0.0,0.0,2007-0034-004,,550,40,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,loose,,,,0.8,1.2,1.0,0.8,1.0,0.9,12.0,8.0,1.0,0.9,1.11,1.5
15,15.0,93,0.0,0.0,2007-0082-003,,550,40,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,loose,,,,0.8,1.2,1.0,0.8,1.0,0.9,12.0,8.0,1.0,0.9,1.11,1.5
22,22.0,95,0.0,1.0,2007-0050-010,,100,90,fabric,0,mono,fragment,tabby,linen,linen,no,no,S,I,medium,-,,,,0.5,1.3,0.9,1.0,2.0,1.5,10.0,5.0,0.9,1.5,0.6,2.0
65,61.0,144,0.0,1.0,2007-0054-005,,90,60,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,loose,uneven,,,,0.8,1.5,1.15,0.6,0.8,0.7,18.0,6.0,1.15,0.7,1.64,3.0
74,70.0,159,0.0,1.0,2008-001-003-04,,220,360,fabric,3,composite,fragment,tabby,linen,linen,no,no,S,S,loose,loose,,,,0.5,0.6,0.55,0.6,8.0,4.3,30.0,8.0,0.55,4.3,0.13,3.75
117,106.0,173,0.0,1.0,2008-0031-003-09,,80,50,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.6,1.2,0.9,1.0,1.4,1.2,20.0,8.0,0.9,1.2,0.75,2.5
118,107.0,173,0.0,1.0,2008-0031-003-10,,70,55,textile,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,loose,,,,0.5,0.8,0.65,1.5,2.5,2.0,12.0,5.0,0.65,2.0,0.32,2.4
207,162.0,196,3.0,0.0,2008-0070-003-12,,10,100,textile,2,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.5,0.8,1.0,0.5,0.8,1.0,,,0.65,0.65,1.0,
217,170.0,196,3.0,0.0,2008-0070-003-21,,140,70,m_band,0,mono,fragment,tabby,linen,linen,no,no,Z,Z,medium,medium,,,,0.6,1.2,0.9,0.6,1.2,0.9,12.0,4.0,0.9,0.9,1.0,3.0
228,,200,0.0,1.0,2008-0118-005,,180,40,textile,0,mono,fragment,half-basket,linen,linen,no,no,S,S,uneven,uneven,,,,0.8,1.5,1.15,1.2,2.0,1.6,4.0,3.0,1.15,1.6,0.72,1.33
239,182.0,208,1.0,0.0,2008-0102-003-02,,180,45,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,loose,,,,0.3,0.6,0.45,1.0,1.5,1.25,10.0,6.0,0.45,1.25,0.36,1.67
